title,company,location,education,experience,skills,description
Sales Representative,Addis Ababa University,Bahir Dar,Diploma,1,"JavaScript, Project Management, Scikit-learn, HTML, Writing, Machine Learning, Accounting","We are looking for a Sales Representative at Addis Ababa University in Bahir Dar. Requirements: Diploma degree, 1 years experience, skills: JavaScript, Project Management, Scikit-learn, HTML, Writing, Machine Learning, Accounting."
Network Administrator,Homegrown Ethiopia,Hawassa,High School,4,"Marketing, Microsoft Office, Django, Excel, Research, Leadership, Scikit-learn, Customer Service","We are looking for a Network Administrator at Homegrown Ethiopia in Hawassa. Requirements: High School degree, 4 years experience, skills: Marketing, Microsoft Office, Django, Excel, Research, Leadership, Scikit-learn, Customer Service."
Tour Guide,Awash Bank,Hawassa,Bachelor's,1,"Communication, Accounting, Pandas, Cybersecurity","We are looking for a Tour Guide at Awash Bank in Hawassa. Requirements: Bachelor's degree, 1 years experience, skills: Communication, Accounting, Pandas, Cybersecurity."
Sales Representative,Population Services International,Addis Ababa,Bachelor's,0,"Teamwork, NumPy, Python, Data Analysis","We are looking for a Sales Representative at Population Services International in Addis Ababa. Requirements: Bachelor's degree, 0 years experience, skills: Teamwork, NumPy, Python, Data Analysis."
Network Administrator,Techno Serve,Jimma,High School,0,"Pandas, QuickBooks, Ethical Hacking","We are looking for a Network Administrator at Techno Serve in Jimma. Requirements: High School degree, 0 years experience, skills: Pandas, QuickBooks, Ethical Hacking."
Teacher,Pathfinder International,Mekelle,High School,6,"Excel, Java, HTML, Pandas, Teaching, Scikit-learn, Git","We are looking for a Teacher at Pathfinder International in Mekelle. Requirements: High School degree, 6 years experience, skills: Excel, Java, HTML, Pandas, Teaching, Scikit-learn, Git."
Sales Representative,Ethio Telecom,Dire Dawa,Master's,2,"Communication, Customer Service, Leadership, Teaching, Sales, Marketing","We are looking for a Sales Representative at Ethio Telecom in Dire Dawa. Requirements: Master's degree, 2 years experience, skills: Communication, Customer Service, Leadership, Teaching, Sales, Marketing."
Sales Representative,Dashen Bank,Jimma,High School,6,"Java, HTML, Microsoft Office, Oracle","We are looking for a Sales Representative at Dashen Bank in Jimma. Requirements: High School degree, 6 years experience, skills: Java, HTML, Microsoft Office, Oracle."
Financial Analyst,CARE Ethiopia,Debre Zeit,Diploma,8,"Java, Linux, NumPy, Cybersecurity","We are looking for a Financial Analyst at CARE Ethiopia in Debre Zeit. Requirements: Diploma degree, 8 years experience, skills: Java, Linux, NumPy, Cybersecurity."
Network Administrator,Oxfam GB,Gondar,Master's,4,"Writing, Teamwork, Microsoft Office, PyTorch, QuickBooks, Data Analysis","We are looking for a Network Administrator at Oxfam GB in Gondar. Requirements: Master's degree, 4 years experience, skills: Writing, Teamwork, Microsoft Office, PyTorch, QuickBooks, Data Analysis."
Accountant,Ethio Telecom,Bahir Dar,Master's,5,"CSS, Linux, Leadership, Data Analysis, Cisco, Flask, Networking, Excel","We are looking for a Accountant at Ethio Telecom in Bahir Dar. Requirements: Master's degree, 5 years experience, skills: CSS, Linux, Leadership, Data Analysis, Cisco, Flask, Networking, Excel."
Marketing Officer,Habesha Breweries,Jimma,Diploma,5,"Scikit-learn, Writing, Project Management, Teamwork","We are looking for a Marketing Officer at Habesha Breweries in Jimma. Requirements: Diploma degree, 5 years experience, skills: Scikit-learn, Writing, Project Management, Teamwork."
Civil Engineer,World Food Programme,Hawassa,Diploma,2,"Docker, Python, AWS, Git, CSS, Excel, Oracle","We are looking for a Civil Engineer at World Food Programme in Hawassa. Requirements: Diploma degree, 2 years experience, skills: Docker, Python, AWS, Git, CSS, Excel, Oracle."
Accountant,Ethiopian Airlines,Adama,High School,0,"SQL, AWS, Pandas, Sales, Excel, PyTorch","We are looking for a Accountant at Ethiopian Airlines in Adama. Requirements: High School degree, 0 years experience, skills: SQL, AWS, Pandas, Sales, Excel, PyTorch."
Project Manager,Ethiopian Shipping Lines,Debre Zeit,Diploma,2,"Networking, HTML, Sales, Project Management, Ethical Hacking","We are looking for a Project Manager at Ethiopian Shipping Lines in Debre Zeit. Requirements: Diploma degree, 2 years experience, skills: Networking, HTML, Sales, Project Management, Ethical Hacking."
Tour Guide,Ethiopian Airlines,Mekelle,High School,4,"Java, Data Analysis, SQL, Machine Learning, Writing","We are looking for a Tour Guide at Ethiopian Airlines in Mekelle. Requirements: High School degree, 4 years experience, skills: Java, Data Analysis, SQL, Machine Learning, Writing."
Hotel Manager,Techno Serve,Adama,Diploma,10,"Java, Sales, AWS, Research","We are looking for a Hotel Manager at Techno Serve in Adama. Requirements: Diploma degree, 10 years experience, skills: Java, Sales, AWS, Research."
Accountant,Population Services International,Mekelle,High School,5,"Teamwork, Sales, Leadership, Research","We are looking for a Accountant at Population Services International in Mekelle. Requirements: High School degree, 5 years experience, skills: Teamwork, Sales, Leadership, Research."
Software Developer,Commercial Bank of Ethiopia,Jimma,Diploma,2,"Teamwork, Django, HTML","We are looking for a Software Developer at Commercial Bank of Ethiopia in Jimma. Requirements: Diploma degree, 2 years experience, skills: Teamwork, Django, HTML."
Network Administrator,World Food Programme,Debre Zeit,Bachelor's,5,"CSS, Marketing, Data Analysis","We are looking for a Network Administrator at World Food Programme in Debre Zeit. Requirements: Bachelor's degree, 5 years experience, skills: CSS, Marketing, Data Analysis."
Sales Representative,Techno Serve,Gondar,Master's,7,"Project Management, NumPy, CCNA","We are looking for a Sales Representative at Techno Serve in Gondar. Requirements: Master's degree, 7 years experience, skills: Project Management, NumPy, CCNA."
Administrative Assistant,Population Services International,Mekelle,High School,1,"NumPy, Linux, Writing, PyTorch, Python, Excel","We are looking for a Administrative Assistant at Population Services International in Mekelle. Requirements: High School degree, 1 years experience, skills: NumPy, Linux, Writing, PyTorch, Python, Excel."
Sales Representative,PSI Ethiopia,Adama,High School,3,"Cisco, Oracle, HTML","We are looking for a Sales Representative at PSI Ethiopia in Adama. Requirements: High School degree, 3 years experience, skills: Cisco, Oracle, HTML."
Project Manager,CARE Ethiopia,Mekelle,Master's,9,"JavaScript, Accounting, Project Management, Flask, Git, Linux","We are looking for a Project Manager at CARE Ethiopia in Mekelle. Requirements: Master's degree, 9 years experience, skills: JavaScript, Accounting, Project Management, Flask, Git, Linux."
Teacher,CARE Ethiopia,Debre Zeit,Master's,9,"JavaScript, AWS, Cybersecurity, Pandas","We are looking for a Teacher at CARE Ethiopia in Debre Zeit. Requirements: Master's degree, 9 years experience, skills: JavaScript, AWS, Cybersecurity, Pandas."
Tour Guide,Pathfinder International,Gondar,Diploma,9,"Marketing, Java, Leadership, Cybersecurity, Research, HTML","We are looking for a Tour Guide at Pathfinder International in Gondar. Requirements: Diploma degree, 9 years experience, skills: Marketing, Java, Leadership, Cybersecurity, Research, HTML."
Electrician,Ethiopian Shipping Lines,Addis Ababa,Diploma,7,"Accounting, Ethical Hacking, Customer Service, SQL","We are looking for a Electrician at Ethiopian Shipping Lines in Addis Ababa. Requirements: Diploma degree, 7 years experience, skills: Accounting, Ethical Hacking, Customer Service, SQL."
Project Manager,Ethiopian Airlines,Mekelle,Master's,8,"Cybersecurity, Teaching, Oracle, Linux, Git, Microsoft Office","We are looking for a Project Manager at Ethiopian Airlines in Mekelle. Requirements: Master's degree, 8 years experience, skills: Cybersecurity, Teaching, Oracle, Linux, Git, Microsoft Office."
Accountant,Habesha Breweries,Dire Dawa,Master's,7,"Java, HTML, Customer Service, Project Management, Cybersecurity, Sales, Python, Marketing","We are looking for a Accountant at Habesha Breweries in Dire Dawa. Requirements: Master's degree, 7 years experience, skills: Java, HTML, Customer Service, Project Management, Cybersecurity, Sales, Python, Marketing."
Chef,SOS Children's Villages,Bahir Dar,High School,8,"Git, Pandas, PyTorch, CSS, Leadership, Customer Service, Oracle, Python","We are looking for a Chef at SOS Children's Villages in Bahir Dar. Requirements: High School degree, 8 years experience, skills: Git, Pandas, PyTorch, CSS, Leadership, Customer Service, Oracle, Python."
Customer Service Officer,Addis Ababa University,Jimma,Bachelor's,6,"Python, Research, Leadership, Amharic, Linux, Flask","We are looking for a Customer Service Officer at Addis Ababa University in Jimma. Requirements: Bachelor's degree, 6 years experience, skills: Python, Research, Leadership, Amharic, Linux, Flask."
Mechanic,Commercial Bank of Ethiopia,Mekelle,Bachelor's,9,"Research, Project Management, Cisco, Flask, Python, QuickBooks, Git","We are looking for a Mechanic at Commercial Bank of Ethiopia in Mekelle. Requirements: Bachelor's degree, 9 years experience, skills: Research, Project Management, Cisco, Flask, Python, QuickBooks, Git."
Electrician,Ministry of Education,Debre Zeit,Master's,8,"Marketing, Flask, Amharic","We are looking for a Electrician at Ministry of Education in Debre Zeit. Requirements: Master's degree, 8 years experience, skills: Marketing, Flask, Amharic."
Project Manager,Ethiopian Airlines,Hawassa,Diploma,6,"Microsoft Office, Communication, SQL, Sales, Research, Ethical Hacking, Oracle, Excel","We are looking for a Project Manager at Ethiopian Airlines in Hawassa. Requirements: Diploma degree, 6 years experience, skills: Microsoft Office, Communication, SQL, Sales, Research, Ethical Hacking, Oracle, Excel."
Electrician,Addis Ababa University,Jimma,Diploma,0,"Accounting, TensorFlow, JavaScript, CSS","We are looking for a Electrician at Addis Ababa University in Jimma. Requirements: Diploma degree, 0 years experience, skills: Accounting, TensorFlow, JavaScript, CSS."
Sales Representative,CARE Ethiopia,Gondar,Diploma,6,"Marketing, Docker, Teaching, Pandas","We are looking for a Sales Representative at CARE Ethiopia in Gondar. Requirements: Diploma degree, 6 years experience, skills: Marketing, Docker, Teaching, Pandas."
Graphic Designer,NIB Insurance,Bahir Dar,Diploma,7,"Scikit-learn, TensorFlow, Docker","We are looking for a Graphic Designer at NIB Insurance in Bahir Dar. Requirements: Diploma degree, 7 years experience, skills: Scikit-learn, TensorFlow, Docker."
Marketing Officer,SOS Children's Villages,Gondar,Bachelor's,4,"Git, Data Analysis, CCNA, Amharic, Customer Service, Project Management, Excel","We are looking for a Marketing Officer at SOS Children's Villages in Gondar. Requirements: Bachelor's degree, 4 years experience, skills: Git, Data Analysis, CCNA, Amharic, Customer Service, Project Management, Excel."
Administrative Assistant,NIB Insurance,Jimma,Diploma,8,"Teamwork, Machine Learning, HTML, Networking","We are looking for a Administrative Assistant at NIB Insurance in Jimma. Requirements: Diploma degree, 8 years experience, skills: Teamwork, Machine Learning, HTML, Networking."
Network Administrator,World Food Programme,Gondar,Bachelor's,5,"Sales, Excel, Customer Service","We are looking for a Network Administrator at World Food Programme in Gondar. Requirements: Bachelor's degree, 5 years experience, skills: Sales, Excel, Customer Service."
Logistics Coordinator,UNICEF Ethiopia,Gondar,Diploma,5,"Java, Accounting, Customer Service, CSS, Docker, SQL, Flask, AWS","We are looking for a Logistics Coordinator at UNICEF Ethiopia in Gondar. Requirements: Diploma degree, 5 years experience, skills: Java, Accounting, Customer Service, CSS, Docker, SQL, Flask, AWS."
Architect,UNICEF Ethiopia,Dire Dawa,High School,4,"Linux, Flask, Machine Learning, QuickBooks","We are looking for a Architect at UNICEF Ethiopia in Dire Dawa. Requirements: High School degree, 4 years experience, skills: Linux, Flask, Machine Learning, QuickBooks."
Nurse,Homegrown Ethiopia,Debre Zeit,Diploma,9,"Project Management, Linux, HTML","We are looking for a Nurse at Homegrown Ethiopia in Debre Zeit. Requirements: Diploma degree, 9 years experience, skills: Project Management, Linux, HTML."
Architect,CARE Ethiopia,Adama,High School,6,"Networking, Scikit-learn, Docker, Excel, Ethical Hacking, CCNA, JavaScript","We are looking for a Architect at CARE Ethiopia in Adama. Requirements: High School degree, 6 years experience, skills: Networking, Scikit-learn, Docker, Excel, Ethical Hacking, CCNA, JavaScript."
Data Analyst,Commercial Bank of Ethiopia,Addis Ababa,Bachelor's,8,"Cisco, HTML, Flask","We are looking for a Data Analyst at Commercial Bank of Ethiopia in Addis Ababa. Requirements: Bachelor's degree, 8 years experience, skills: Cisco, HTML, Flask."
Customer Service Officer,World Food Programme,Dire Dawa,Diploma,9,"QuickBooks, Machine Learning, Teamwork, Sales","We are looking for a Customer Service Officer at World Food Programme in Dire Dawa. Requirements: Diploma degree, 9 years experience, skills: QuickBooks, Machine Learning, Teamwork, Sales."
Project Manager,Ethiopian Airlines,Debre Zeit,Bachelor's,4,"Customer Service, Git, CCNA","We are looking for a Project Manager at Ethiopian Airlines in Debre Zeit. Requirements: Bachelor's degree, 4 years experience, skills: Customer Service, Git, CCNA."
Translator (Amharic/English),Homegrown Ethiopia,Dire Dawa,Diploma,9,"Teamwork, Sales, Java","We are looking for a Translator (Amharic/English) at Homegrown Ethiopia in Dire Dawa. Requirements: Diploma degree, 9 years experience, skills: Teamwork, Sales, Java."
Project Manager,Oxfam GB,Mekelle,High School,7,"AWS, Docker, Teaching, CSS, Project Management, NumPy","We are looking for a Project Manager at Oxfam GB in Mekelle. Requirements: High School degree, 7 years experience, skills: AWS, Docker, Teaching, CSS, Project Management, NumPy."
Teacher,Commercial Bank of Ethiopia,Jimma,Diploma,9,"Git, Marketing, Research, Cisco","We are looking for a Teacher at Commercial Bank of Ethiopia in Jimma. Requirements: Diploma degree, 9 years experience, skills: Git, Marketing, Research, Cisco."
Electrician,Population Services International,Hawassa,Bachelor's,10,"Data Analysis, Python, Teaching, TensorFlow, AWS, JavaScript, Teamwork","We are looking for a Electrician at Population Services International in Hawassa. Requirements: Bachelor's degree, 10 years experience, skills: Data Analysis, Python, Teaching, TensorFlow, AWS, JavaScript, Teamwork."
Mechanic,Habesha Breweries,Addis Ababa,Bachelor's,5,"Accounting, Amharic, Python, NumPy","We are looking for a Mechanic at Habesha Breweries in Addis Ababa. Requirements: Bachelor's degree, 5 years experience, skills: Accounting, Amharic, Python, NumPy."
Chef,Dashen Bank,Debre Zeit,Diploma,3,"PyTorch, Cisco, CSS, Ethical Hacking, SAP, Oracle, NumPy","We are looking for a Chef at Dashen Bank in Debre Zeit. Requirements: Diploma degree, 3 years experience, skills: PyTorch, Cisco, CSS, Ethical Hacking, SAP, Oracle, NumPy."
Teacher,NIB Insurance,Bahir Dar,Diploma,5,"TensorFlow, CCNA, QuickBooks","We are looking for a Teacher at NIB Insurance in Bahir Dar. Requirements: Diploma degree, 5 years experience, skills: TensorFlow, CCNA, QuickBooks."
Project Manager,Techno Serve,Dire Dawa,Bachelor's,4,"Project Management, Ethical Hacking, Pandas","We are looking for a Project Manager at Techno Serve in Dire Dawa. Requirements: Bachelor's degree, 4 years experience, skills: Project Management, Ethical Hacking, Pandas."
Accountant,Oxfam GB,Bahir Dar,Diploma,5,"Pandas, Microsoft Office, JavaScript","We are looking for a Accountant at Oxfam GB in Bahir Dar. Requirements: Diploma degree, 5 years experience, skills: Pandas, Microsoft Office, JavaScript."
Translator (Amharic/English),Addis Ababa University,Bahir Dar,High School,1,"NumPy, Scikit-learn, Communication, Marketing, Excel, Accounting, Microsoft Office, Writing","We are looking for a Translator (Amharic/English) at Addis Ababa University in Bahir Dar. Requirements: High School degree, 1 years experience, skills: NumPy, Scikit-learn, Communication, Marketing, Excel, Accounting, Microsoft Office, Writing."
Administrative Assistant,Homegrown Ethiopia,Dire Dawa,Bachelor's,6,"Django, Cisco, Teamwork, Flask, AWS, Data Analysis, Machine Learning","We are looking for a Administrative Assistant at Homegrown Ethiopia in Dire Dawa. Requirements: Bachelor's degree, 6 years experience, skills: Django, Cisco, Teamwork, Flask, AWS, Data Analysis, Machine Learning."
Mechanic,Habesha Breweries,Mekelle,High School,3,"Data Analysis, Oracle, QuickBooks, TensorFlow","We are looking for a Mechanic at Habesha Breweries in Mekelle. Requirements: High School degree, 3 years experience, skills: Data Analysis, Oracle, QuickBooks, TensorFlow."
Auditor,PSI Ethiopia,Hawassa,High School,9,"Excel, Django, Project Management, QuickBooks, Cybersecurity, Research, Microsoft Office","We are looking for a Auditor at PSI Ethiopia in Hawassa. Requirements: High School degree, 9 years experience, skills: Excel, Django, Project Management, QuickBooks, Cybersecurity, Research, Microsoft Office."
Graphic Designer,Addis Ababa University,Debre Zeit,Bachelor's,5,"PyTorch, Research, Amharic, Customer Service, Django","We are looking for a Graphic Designer at Addis Ababa University in Debre Zeit. Requirements: Bachelor's degree, 5 years experience, skills: PyTorch, Research, Amharic, Customer Service, Django."
Administrative Assistant,World Food Programme,Hawassa,Diploma,8,"Python, HTML, Git","We are looking for a Administrative Assistant at World Food Programme in Hawassa. Requirements: Diploma degree, 8 years experience, skills: Python, HTML, Git."
Teacher,PSI Ethiopia,Jimma,Bachelor's,0,"TensorFlow, JavaScript, Django, Writing, AWS","We are looking for a Teacher at PSI Ethiopia in Jimma. Requirements: Bachelor's degree, 0 years experience, skills: TensorFlow, JavaScript, Django, Writing, AWS."
Content Writer,CARE Ethiopia,Adama,Master's,9,"Leadership, Sales, Marketing, Machine Learning, Customer Service, Linux, Project Management","We are looking for a Content Writer at CARE Ethiopia in Adama. Requirements: Master's degree, 9 years experience, skills: Leadership, Sales, Marketing, Machine Learning, Customer Service, Linux, Project Management."
Tour Guide,Ethiopian Shipping Lines,Adama,Diploma,5,"Ethical Hacking, Oracle, Microsoft Office, JavaScript, HTML, Project Management, Java","We are looking for a Tour Guide at Ethiopian Shipping Lines in Adama. Requirements: Diploma degree, 5 years experience, skills: Ethical Hacking, Oracle, Microsoft Office, JavaScript, HTML, Project Management, Java."
Nurse,World Food Programme,Dire Dawa,High School,0,"AWS, Networking, Amharic, Leadership","We are looking for a Nurse at World Food Programme in Dire Dawa. Requirements: High School degree, 0 years experience, skills: AWS, Networking, Amharic, Leadership."
Hotel Manager,Dashen Bank,Bahir Dar,Master's,3,"Networking, Cisco, HTML, Leadership, Amharic, Teamwork","We are looking for a Hotel Manager at Dashen Bank in Bahir Dar. Requirements: Master's degree, 3 years experience, skills: Networking, Cisco, HTML, Leadership, Amharic, Teamwork."
Customer Service Officer,Ethiopian Shipping Lines,Adama,Bachelor's,3,"Pandas, Customer Service, HTML, Communication, Python, Machine Learning, Leadership, Microsoft Office","We are looking for a Customer Service Officer at Ethiopian Shipping Lines in Adama. Requirements: Bachelor's degree, 3 years experience, skills: Pandas, Customer Service, HTML, Communication, Python, Machine Learning, Leadership, Microsoft Office."
Graphic Designer,Homegrown Ethiopia,Debre Zeit,High School,1,"CCNA, Linux, NumPy, Git, Marketing, Research, Oracle, Docker","We are looking for a Graphic Designer at Homegrown Ethiopia in Debre Zeit. Requirements: High School degree, 1 years experience, skills: CCNA, Linux, NumPy, Git, Marketing, Research, Oracle, Docker."
Hotel Manager,Ethiopian Airlines,Jimma,High School,0,"Microsoft Office, Pandas, JavaScript","We are looking for a Hotel Manager at Ethiopian Airlines in Jimma. Requirements: High School degree, 0 years experience, skills: Microsoft Office, Pandas, JavaScript."
Nurse,NIB Insurance,Addis Ababa,Diploma,10,"Teamwork, English, Excel, Project Management, PyTorch, Amharic, Customer Service, QuickBooks","We are looking for a Nurse at NIB Insurance in Addis Ababa. Requirements: Diploma degree, 10 years experience, skills: Teamwork, English, Excel, Project Management, PyTorch, Amharic, Customer Service, QuickBooks."
Procurement Officer,Homegrown Ethiopia,Adama,Diploma,7,"Research, SQL, PyTorch","We are looking for a Procurement Officer at Homegrown Ethiopia in Adama. Requirements: Diploma degree, 7 years experience, skills: Research, SQL, PyTorch."
Human Resources Assistant,Techno Serve,Jimma,Diploma,2,"Oracle, Sales, Networking, CCNA","We are looking for a Human Resources Assistant at Techno Serve in Jimma. Requirements: Diploma degree, 2 years experience, skills: Oracle, Sales, Networking, CCNA."
Hotel Manager,Pathfinder International,Hawassa,Bachelor's,4,"AWS, HTML, Accounting, Microsoft Office, Git, Flask, Amharic, NumPy","We are looking for a Hotel Manager at Pathfinder International in Hawassa. Requirements: Bachelor's degree, 4 years experience, skills: AWS, HTML, Accounting, Microsoft Office, Git, Flask, Amharic, NumPy."
Network Administrator,UNICEF Ethiopia,Debre Zeit,Master's,1,"JavaScript, Sales, Cybersecurity, SAP","We are looking for a Network Administrator at UNICEF Ethiopia in Debre Zeit. Requirements: Master's degree, 1 years experience, skills: JavaScript, Sales, Cybersecurity, SAP."
Civil Engineer,Ethiopian Airlines,Debre Zeit,High School,8,"Amharic, Customer Service, Sales, Accounting, SQL, Microsoft Office, Leadership","We are looking for a Civil Engineer at Ethiopian Airlines in Debre Zeit. Requirements: High School degree, 8 years experience, skills: Amharic, Customer Service, Sales, Accounting, SQL, Microsoft Office, Leadership."
Teacher,PSI Ethiopia,Bahir Dar,Diploma,10,"Git, Accounting, QuickBooks, Communication, PyTorch, Research","We are looking for a Teacher at PSI Ethiopia in Bahir Dar. Requirements: Diploma degree, 10 years experience, skills: Git, Accounting, QuickBooks, Communication, PyTorch, Research."
Chef,Habesha Breweries,Dire Dawa,Diploma,1,"Marketing, Oracle, QuickBooks","We are looking for a Chef at Habesha Breweries in Dire Dawa. Requirements: Diploma degree, 1 years experience, skills: Marketing, Oracle, QuickBooks."
Administrative Assistant,Techno Serve,Debre Zeit,Master's,4,"Java, Leadership, Writing, SQL, Flask","We are looking for a Administrative Assistant at Techno Serve in Debre Zeit. Requirements: Master's degree, 4 years experience, skills: Java, Leadership, Writing, SQL, Flask."
Data Analyst,Homegrown Ethiopia,Dire Dawa,Bachelor's,2,"Communication, Networking, Machine Learning, Oracle, Accounting, SQL, JavaScript","We are looking for a Data Analyst at Homegrown Ethiopia in Dire Dawa. Requirements: Bachelor's degree, 2 years experience, skills: Communication, Networking, Machine Learning, Oracle, Accounting, SQL, JavaScript."
Chef,Ethiopian Airlines,Gondar,High School,0,"Docker, Flask, Microsoft Office, Customer Service","We are looking for a Chef at Ethiopian Airlines in Gondar. Requirements: High School degree, 0 years experience, skills: Docker, Flask, Microsoft Office, Customer Service."
Content Writer,Population Services International,Dire Dawa,High School,5,"JavaScript, Oracle, Excel, HTML, Writing, Data Analysis, Pandas","We are looking for a Content Writer at Population Services International in Dire Dawa. Requirements: High School degree, 5 years experience, skills: JavaScript, Oracle, Excel, HTML, Writing, Data Analysis, Pandas."
Data Analyst,CARE Ethiopia,Adama,Master's,2,"Java, English, Marketing, Leadership, SQL","We are looking for a Data Analyst at CARE Ethiopia in Adama. Requirements: Master's degree, 2 years experience, skills: Java, English, Marketing, Leadership, SQL."
Network Administrator,Homegrown Ethiopia,Hawassa,Diploma,1,"Research, QuickBooks, Microsoft Office, Python, Ethical Hacking, CCNA, SQL, Teaching","We are looking for a Network Administrator at Homegrown Ethiopia in Hawassa. Requirements: Diploma degree, 1 years experience, skills: Research, QuickBooks, Microsoft Office, Python, Ethical Hacking, CCNA, SQL, Teaching."
Project Manager,Ethiopian Shipping Lines,Dire Dawa,High School,3,"HTML, Scikit-learn, TensorFlow, CCNA, Java","We are looking for a Project Manager at Ethiopian Shipping Lines in Dire Dawa. Requirements: High School degree, 3 years experience, skills: HTML, Scikit-learn, TensorFlow, CCNA, Java."
Data Analyst,Pathfinder International,Addis Ababa,High School,6,"Project Management, Accounting, Teamwork, Docker","We are looking for a Data Analyst at Pathfinder International in Addis Ababa. Requirements: High School degree, 6 years experience, skills: Project Management, Accounting, Teamwork, Docker."
Network Administrator,CARE Ethiopia,Gondar,Bachelor's,9,"PyTorch, Excel, Docker, CSS","We are looking for a Network Administrator at CARE Ethiopia in Gondar. Requirements: Bachelor's degree, 9 years experience, skills: PyTorch, Excel, Docker, CSS."
Mechanic,PSI Ethiopia,Jimma,Diploma,2,"Data Analysis, Flask, SAP, Networking, Teamwork","We are looking for a Mechanic at PSI Ethiopia in Jimma. Requirements: Diploma degree, 2 years experience, skills: Data Analysis, Flask, SAP, Networking, Teamwork."
Teacher,SOS Children's Villages,Dire Dawa,Diploma,6,"NumPy, CSS, Accounting","We are looking for a Teacher at SOS Children's Villages in Dire Dawa. Requirements: Diploma degree, 6 years experience, skills: NumPy, CSS, Accounting."
Chef,NIB Insurance,Mekelle,High School,2,"Customer Service, Flask, Django, TensorFlow, Data Analysis","We are looking for a Chef at NIB Insurance in Mekelle. Requirements: High School degree, 2 years experience, skills: Customer Service, Flask, Django, TensorFlow, Data Analysis."
Auditor,UNICEF Ethiopia,Adama,High School,6,"Accounting, English, CSS, Python","We are looking for a Auditor at UNICEF Ethiopia in Adama. Requirements: High School degree, 6 years experience, skills: Accounting, English, CSS, Python."
Financial Analyst,Habesha Breweries,Debre Zeit,Master's,9,"Excel, Marketing, Accounting, Python, TensorFlow, Cisco","We are looking for a Financial Analyst at Habesha Breweries in Debre Zeit. Requirements: Master's degree, 9 years experience, skills: Excel, Marketing, Accounting, Python, TensorFlow, Cisco."
Content Writer,SOS Children's Villages,Debre Zeit,Master's,6,"Linux, Customer Service, Accounting, Leadership, Teamwork, Sales, JavaScript, Pandas","We are looking for a Content Writer at SOS Children's Villages in Debre Zeit. Requirements: Master's degree, 6 years experience, skills: Linux, Customer Service, Accounting, Leadership, Teamwork, Sales, JavaScript, Pandas."
Auditor,Ethio Telecom,Bahir Dar,Bachelor's,0,"Ethical Hacking, Leadership, Accounting, JavaScript","We are looking for a Auditor at Ethio Telecom in Bahir Dar. Requirements: Bachelor's degree, 0 years experience, skills: Ethical Hacking, Leadership, Accounting, JavaScript."
Logistics Coordinator,Habesha Breweries,Jimma,Master's,1,"Teamwork, Java, TensorFlow","We are looking for a Logistics Coordinator at Habesha Breweries in Jimma. Requirements: Master's degree, 1 years experience, skills: Teamwork, Java, TensorFlow."
Electrician,Addis Ababa University,Bahir Dar,Master's,4,"Sales, CCNA, Excel, Linux, Scikit-learn, Networking, Cybersecurity, AWS","We are looking for a Electrician at Addis Ababa University in Bahir Dar. Requirements: Master's degree, 4 years experience, skills: Sales, CCNA, Excel, Linux, Scikit-learn, Networking, Cybersecurity, AWS."
Translator (Amharic/English),Habesha Breweries,Bahir Dar,Diploma,7,"Teamwork, Teaching, TensorFlow, Research, Python, Flask","We are looking for a Translator (Amharic/English) at Habesha Breweries in Bahir Dar. Requirements: Diploma degree, 7 years experience, skills: Teamwork, Teaching, TensorFlow, Research, Python, Flask."
Customer Service Officer,Pathfinder International,Hawassa,High School,3,"Microsoft Office, Leadership, Sales","We are looking for a Customer Service Officer at Pathfinder International in Hawassa. Requirements: High School degree, 3 years experience, skills: Microsoft Office, Leadership, Sales."
Data Analyst,SOS Children's Villages,Bahir Dar,Bachelor's,1,"Amharic, CSS, Accounting, Microsoft Office","We are looking for a Data Analyst at SOS Children's Villages in Bahir Dar. Requirements: Bachelor's degree, 1 years experience, skills: Amharic, CSS, Accounting, Microsoft Office."
Software Developer,Commercial Bank of Ethiopia,Dire Dawa,Bachelor's,5,"Sales, Java, JavaScript, Accounting, QuickBooks, Docker, Git, Marketing","We are looking for a Software Developer at Commercial Bank of Ethiopia in Dire Dawa. Requirements: Bachelor's degree, 5 years experience, skills: Sales, Java, JavaScript, Accounting, QuickBooks, Docker, Git, Marketing."
Civil Engineer,Pathfinder International,Mekelle,High School,10,"Cybersecurity, Python, English, PyTorch, Project Management, Java","We are looking for a Civil Engineer at Pathfinder International in Mekelle. Requirements: High School degree, 10 years experience, skills: Cybersecurity, Python, English, PyTorch, Project Management, Java."
Architect,Addis Ababa University,Addis Ababa,Bachelor's,4,"AWS, SAP, CCNA, Teaching, English","We are looking for a Architect at Addis Ababa University in Addis Ababa. Requirements: Bachelor's degree, 4 years experience, skills: AWS, SAP, CCNA, Teaching, English."
Network Administrator,Techno Serve,Dire Dawa,Bachelor's,8,"Communication, Leadership, Django, Java, SAP, Excel, Ethical Hacking, QuickBooks","We are looking for a Network Administrator at Techno Serve in Dire Dawa. Requirements: Bachelor's degree, 8 years experience, skills: Communication, Leadership, Django, Java, SAP, Excel, Ethical Hacking, QuickBooks."
Translator (Amharic/English),Awash Bank,Mekelle,Master's,4,"Customer Service, Pandas, Data Analysis, Cisco","We are looking for a Translator (Amharic/English) at Awash Bank in Mekelle. Requirements: Master's degree, 4 years experience, skills: Customer Service, Pandas, Data Analysis, Cisco."
